Price,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Brand,Model
8152260,4,17000,petrol,manual,1,5,Maruti,Suzuki S-Presso VXI+
8708840,7,44000,petrol,manual,2,5,Hyundai,Grand i10 Asta 1.2 Kappa VTVT (O)
8381440,2,13000,petrol,manual,1,5,Maruti,Suzuki S-Presso VXI+
5271140,8,68000,petrol,manual,1,5,Renault,Kwid RXT
7071840,6,37000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT
9772890,6,31000,petrol,automatic,1,5,Maruti,Suzuki Ignis Zeta AMT Petrol
6744440,7,64000,petrol,automatic,1,5,Renault,Kwid CLIMBER 1.0 AMT
6187860,10,52000,petrol,manual,1,5,Honda,Brio S MT
4878260,10,63000,petrol,manual,2,5,Hyundai,Eon Magna + 1.0
6024160,8,54000,petrol,automatic,3,5,Maruti,Suzuki Wagon R 1.0 VXI AMT
7562940,10,65000,petrol,automatic,1,5,Hyundai,Xcent S AT (O) Petrol
9461860,7,34000,petrol,manual,1,5,Hyundai,Grand i10 Asta 1.2 Kappa VTVT
7235540,10,38000,petrol,manual,1,5,Hyundai,Xcent S (O) Petrol
7628420,8,37000,petrol,manual,3,5,Hyundai,Grand i10 Asta 1.2 Kappa VTVT (O)
5189290,7,32000,petrol,manual,2,5,Datsun,GO T Anniversary Edition
4452640,12,36000,petrol,manual,1,5,Maruti,Suzuki Alto K10 VXI
4288940,7,37000,petrol,manual,2,5,Datsun,Redi-GO T (O)
4550860,11,45000,petrol,manual,1,5,Maruti,Suzuki Alto K10 VXI
6236970,7,47000,petrol,manual,1,5,Renault,Kwid RXT 1.0 SCE Special
7513830,6,33000,petrol,automatic,1,5,Renault,Kwid CLIMBER 1.0 AMT Opt
5222030,11,74000,petrol,automatic,1,5,Maruti,Suzuki A-Star VXI AT
6367930,7,51000,petrol,automatic,2,5,Renault,Kwid CLIMBER 1.0 AMT
5434840,7,39000,petrol,manual,2,5,Maruti,Suzuki Alto K10 VXI
7530200,5,19000,petrol,manual,1,5,Renault,Kwid 1.0 RXT(O) SCE
5549430,9,18000,petrol,manual,1,5,Maruti,Suzuki Alto K10 VXI
6515260,8,52000,petrol,manual,2,5,Hyundai,i10 magna 1.1
6744440,9,45000,petrol,manual,1,5,Hyundai,i10 Sportz 1.1 Petrol
5647650,9,35000,petrol,manual,1,5,Hyundai,Eon Sportz
7955820,4,17000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT Opt
